Time,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Command_Vector,Thruster_1_Cmd,Thruster_1_Val,Thruster_2_Cmd,Thruster_2_Val,Thruster_3_Cmd,Thruster_3_Val,Thruster_4_Cmd,Thruster_4_Val,Thruster_5_Cmd,Thruster_5_Val,Thruster_6_Cmd,Thruster_6_Val
0.0050,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0100,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0150,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0200,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0250,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0300,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0350,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0400,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0450,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0500,1.00000,1.00000,1.00000,-0.00004,0.00004,1.57102,-0.00025,-0.00025,-0.00025,-0.01601,0.01601,0.09071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,0.00004,-0.00004,-1.57102,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0550,1.00000,1.00000,1.00000,-0.00016,0.00016,1.57170,-0.00050,-0.00050,-0.00050,-0.03203,0.03203,0.18141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,0.00016,-0.00016,-1.57170,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0600,0.99999,0.99999,0.99999,-0.00036,0.00036,1.57284,-0.00075,-0.00075,-0.00075,-0.04804,0.04804,0.27212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,0.00036,-0.00036,-1.57284,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0650,0.99999,0.99999,0.99999,-0.00064,0.00064,1.57442,-0.00100,-0.00100,-0.00100,-0.06406,0.06406,0.36282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,0.00064,-0.00064,-1.57442,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0700,0.99998,0.99998,0.99998,-0.00100,0.00100,1.57646,-0.00125,-0.00125,-0.00125,-0.08007,0.08007,0.45353,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99998,-0.99998,-0.99998,0.00100,-0.00100,-1.57646,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0750,0.99998,0.99998,0.99998,-0.00144,0.00145,1.57896,-0.00150,-0.00150,-0.00150,-0.09608,0.09608,0.54424,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99998,-0.99998,-0.99998,0.00144,-0.00145,-1.57896,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0800,0.99997,0.99997,0.99997,-0.00195,0.00197,1.58191,-0.00174,-0.00176,-0.00175,-0.11210,0.11210,0.63494,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99997,-0.99997,-0.99997,0.00195,-0.00197,-1.58191,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
